localita,dt,type,value
Arezzo,2012-07-08,min,17
Arezzo,2012-07-08,max,37
Arezzo,2012-07-09,min,17
Arezzo,2012-07-09,max,37
Arezzo,2012-07-10,min,16
Arezzo,2012-07-10,max,36
Arezzo,2012-07-11,min,16
Arezzo,2012-07-11,max,36
Arezzo,2012-07-12,min,18
Arezzo,2012-07-12,max,34
Arezzo,2012-07-13,min,15
Arezzo,2012-07-13,max,34
Arezzo,2012-07-14,min,18
Arezzo,2012-07-14,max,35
Arezzo,2012-07-15,min,20
Arezzo,2012-07-15,max,31
Arezzo,2012-07-16,min,14
Arezzo,2012-07-16,max,33
Arezzo,2012-07-17,min,14
Arezzo,2012-07-17,max,33
Arezzo,2012-07-18,min,14
Arezzo,2012-07-18,max,36
Arezzo,2012-07-19,min,16
Arezzo,2012-07-19,max,37
Arezzo,2012-07-20,min,16
Arezzo,2012-07-20,max,36
Arezzo,2012-07-21,min,17
Arezzo,2012-07-21,max,34
Arezzo,2012-07-22,min,18
Arezzo,2012-07-22,max,27
Arezzo,2012-07-23,min,17
Arezzo,2012-07-23,max,22
Arezzo,2012-07-24,min,18
Arezzo,2012-07-24,max,28
Arezzo,2012-07-25,min,16
Arezzo,2012-07-25,max,34
Arezzo,2012-07-26,min,16
Arezzo,2012-07-26,max,35
Arezzo,2012-07-27,min,17
Arezzo,2012-07-27,max,39
Arezzo,2012-07-28,min,17
Arezzo,2012-07-28,max,39
Arezzo,2012-07-29,min,18
Arezzo,2012-07-29,max,37
Arezzo,2012-07-30,min,18
Arezzo,2012-07-30,max,37
Arezzo,2012-07-31,min,16
Arezzo,2012-07-31,max,38
Arezzo,2012-08-01,min,18
Arezzo,2012-08-01,max,38
Arezzo,2012-08-02,min,17
Arezzo,2012-08-02,max,38
Arezzo,2012-08-03,min,17
Arezzo,2012-08-03,max,39
Arezzo,2012-08-04,min,18
Arezzo,2012-08-04,max,38
Arezzo,2012-08-05,min,17
Arezzo,2012-08-05,max,37
Arezzo,2012-08-06,min,19
Arezzo,2012-08-06,max,34
Arezzo,2012-08-07,min,21
Arezzo,2012-08-07,max,37
Arezzo,2012-08-08,min,13
Arezzo,2012-08-08,max,38
Arezzo,2012-08-09,min,17
Arezzo,2012-08-09,max,38
Arezzo,2012-08-10,min,22
Arezzo,2012-08-10,max,35
Arezzo,2012-08-11,min,16
Arezzo,2012-08-11,max,34
Arezzo,2012-08-12,min,16
Arezzo,2012-08-12,max,35
Arezzo,2012-08-13,min,19
Arezzo,2012-08-13,max,33
Arezzo,2012-08-14,min,18
Arezzo,2012-08-14,max,34
Arezzo,2012-08-15,min,17
Arezzo,2012-08-15,max,36
Arezzo,2012-08-16,min,18
Arezzo,2012-08-16,max,36
Arezzo,2012-08-17,min,17
Arezzo,2012-08-17,max,38
Arezzo,2012-08-18,min,18
Arezzo,2012-08-18,max,38
Arezzo,2012-08-19,min,19
Arezzo,2012-08-19,max,39
Arezzo,2012-08-20,min,19
Arezzo,2012-08-20,max,40
Arezzo,2012-08-21,min,19
Arezzo,2012-08-21,max,41
Arezzo,2012-08-22,min,19
Arezzo,2012-08-22,max,40
Arezzo,2012-08-23,min,19
Arezzo,2012-08-23,max,40
Arezzo,2012-08-24,min,19
Arezzo,2012-08-24,max,39
Arezzo,2012-08-25,min,18
Arezzo,2012-08-25,max,38
Arezzo,2012-08-26,min,21
Arezzo,2012-08-26,max,29
Arezzo,2012-08-27,min,16
Arezzo,2012-08-27,max,30
Arezzo,2012-08-28,min,14
Arezzo,2012-08-28,max,34
Arezzo,2012-08-29,min,15
Arezzo,2012-08-29,max,36
Arezzo,2012-08-30,min,16
Arezzo,2012-08-30,max,36
Arezzo,2012-08-31,min,19
Arezzo,2012-08-31,max,25
Arezzo,2012-09-01,min,15
Arezzo,2012-09-01,max,25
Arezzo,2012-09-02,min,14
Arezzo,2012-09-02,max,24
Arezzo,2012-09-03,min,17
Arezzo,2012-09-03,max,26
Arezzo,2012-09-04,min,14
Arezzo,2012-09-04,max,24
Arezzo,2012-09-05,min,16
Arezzo,2012-09-05,max,26
Arezzo,2012-09-06,min,14
Arezzo,2012-09-06,max,28
Arezzo,2012-09-07,min,16
Arezzo,2012-09-07,max,30
Arezzo,2012-09-08,min,14
Arezzo,2012-09-08,max,31
Arezzo,2012-09-09,min,12
Arezzo,2012-09-09,max,30
Arezzo,2012-09-10,min,13
Arezzo,2012-09-10,max,30
Arezzo,2012-09-11,min,14
Arezzo,2012-09-11,max,29
Arezzo,2012-09-12,min,16
Arezzo,2012-09-12,max,29
Arezzo,2012-09-13,min,15
Arezzo,2012-09-13,max,22
Arezzo,2012-09-14,min,14
Arezzo,2012-09-14,max,19
Arezzo,2012-09-15,min,15
Arezzo,2012-09-15,max,27
Arezzo,2012-09-16,min,13
Arezzo,2012-09-16,max,27
Arezzo,2012-09-17,min,10
Arezzo,2012-09-17,max,26
Arezzo,2012-09-18,min,13
Arezzo,2012-09-18,max,26
Arezzo,2012-09-19,min,16
Arezzo,2012-09-19,max,21
Arezzo,2012-09-20,min,14
Arezzo,2012-09-20,max,22
Arezzo,2012-09-21,min,7
Arezzo,2012-09-21,max,24
Arezzo,2012-09-22,min,10
Arezzo,2012-09-22,max,25
Arezzo,2012-09-23,min,17
Arezzo,2012-09-23,max,27
Arezzo,2012-09-24,min,18
Arezzo,2012-09-24,max,29
Arezzo,2012-09-25,min,15
Arezzo,2012-09-25,max,26
Arezzo,2012-09-26,min,17
Arezzo,2012-09-26,max,27
Arezzo,2012-09-27,min,19
Arezzo,2012-09-27,max,24
Arezzo,2012-09-28,min,17
Arezzo,2012-09-28,max,28
Arezzo,2012-09-29,min,17
Arezzo,2012-09-29,max,28
Arezzo,2012-09-30,min,17
Arezzo,2012-09-30,max,23
Arezzo,2012-10-01,min,13
Arezzo,2012-10-01,max,23
Arezzo,2012-10-02,min,15
Arezzo,2012-10-02,max,23
Arezzo,2012-10-03,min,11
Arezzo,2012-10-03,max,21
Arezzo,2012-10-04,min,12
Arezzo,2012-10-04,max,24
Arezzo,2012-10-05,min,11
Arezzo,2012-10-05,max,23
Arezzo,2012-10-06,min,11
Arezzo,2012-10-06,max,26
Arezzo,2012-10-07,min,15
Arezzo,2012-10-07,max,24
Arezzo,2012-10-08,min,15
Arezzo,2012-10-08,max,26
Arezzo,2012-10-09,min,14
Arezzo,2012-10-09,max,20
Arezzo,2012-10-10,min,14
Arezzo,2012-10-10,max,22
Arezzo,2012-10-11,min,13
Arezzo,2012-10-11,max,24
Arezzo,2012-10-12,min,15
Arezzo,2012-10-12,max,21
Arezzo,2012-10-13,min,13
Arezzo,2012-10-13,max,23
Arezzo,2012-10-14,min,14
Arezzo,2012-10-14,max,23
Arezzo,2012-10-15,min,13
Arezzo,2012-10-15,max,21
Arezzo,2012-10-16,min,10
Arezzo,2012-10-16,max,19
Arezzo,2012-10-17,min,8
Arezzo,2012-10-17,max,22
Arezzo,2012-10-18,min,9
Arezzo,2012-10-18,max,22
Arezzo,2012-10-19,min,8
Arezzo,2012-10-19,max,23
Arezzo,2012-10-20,min,9
Arezzo,2012-10-20,max,26
Arezzo,2012-10-21,min,11
Arezzo,2012-10-21,max,27
Arezzo,2012-10-22,min,13
Arezzo,2012-10-22,max,25
Arezzo,2012-10-23,min,12
Arezzo,2012-10-23,max,24
Arezzo,2012-10-24,min,8
Arezzo,2012-10-24,max,26
Arezzo,2012-10-25,min,10
Arezzo,2012-10-25,max,23
Arezzo,2012-10-26,min,11
Arezzo,2012-10-26,max,20
Arezzo,2012-10-27,min,15
Arezzo,2012-10-27,max,19
Arezzo,2012-10-28,min,8
Arezzo,2012-10-28,max,14
Arezzo,2012-10-29,min,5
Arezzo,2012-10-29,max,11
Arezzo,2012-10-30,min,1
Arezzo,2012-10-30,max,12
Arezzo,2012-10-31,min,7
Arezzo,2012-10-31,max,13
Arezzo,2012-11-01,min,12
Arezzo,2012-11-01,max,16
Arezzo,2012-11-02,min,11
Arezzo,2012-11-02,max,19
Arezzo,2012-11-03,min,9
Arezzo,2012-11-03,max,17
Arezzo,2012-11-04,min,15
Arezzo,2012-11-04,max,19
Arezzo,2012-11-05,min,12
Arezzo,2012-11-05,max,19
Arezzo,2012-11-06,min,10
Arezzo,2012-11-06,max,17
Arezzo,2012-11-07,min,6
Arezzo,2012-11-07,max,18
Arezzo,2012-11-08,min,2
Arezzo,2012-11-08,max,16
Arezzo,2012-11-09,min,3
Arezzo,2012-11-09,max,13
Arezzo,2012-11-10,min,8
Arezzo,2012-11-10,max,17
Arezzo,2012-11-11,min,14
Arezzo,2012-11-11,max,19
Arezzo,2012-11-12,min,14
Arezzo,2012-11-12,max,15
Arezzo,2012-11-13,min,13
Arezzo,2012-11-13,max,17
Arezzo,2012-11-14,min,10
Arezzo,2012-11-14,max,18
Arezzo,2012-11-15,min,7
Arezzo,2012-11-15,max,15
Arezzo,2012-11-16,min,5
Arezzo,2012-11-16,max,16
Arezzo,2012-11-17,min,4
Arezzo,2012-11-17,max,15
Arezzo,2012-11-18,min,9
Arezzo,2012-11-18,max,15
Arezzo,2012-11-19,min,9
Arezzo,2012-11-19,max,13
Arezzo,2012-11-20,min,9
Arezzo,2012-11-20,max,15
Arezzo,2012-11-21,min,8
Arezzo,2012-11-21,max,17
Arezzo,2012-11-22,min,5
Arezzo,2012-11-22,max,15
Arezzo,2012-11-23,min,6
Arezzo,2012-11-23,max,13
Arezzo,2012-11-24,min,7
Arezzo,2012-11-24,max,12
Arezzo,2012-11-25,min,7
Arezzo,2012-11-25,max,11
Arezzo,2012-11-26,min,7
Arezzo,2012-11-26,max,14
Arezzo,2012-11-27,min,10
Arezzo,2012-11-27,max,15
Arezzo,2012-11-28,min,9
Arezzo,2012-11-28,max,15
Arezzo,2012-11-29,min,6
Arezzo,2012-11-29,max,10
Arezzo,2012-11-30,min,6
Arezzo,2012-11-30,max,11
Arezzo,2012-12-01,min,6
Arezzo,2012-12-01,max,12
Arezzo,2012-12-02,min,5
Arezzo,2012-12-02,max,10
Arezzo,2012-12-03,min,2
Arezzo,2012-12-03,max,10
Arezzo,2012-12-04,min,1
Arezzo,2012-12-04,max,11
Arezzo,2012-12-05,min,0
Arezzo,2012-12-05,max,6
Arezzo,2012-12-06,min,-1
Arezzo,2012-12-06,max,5
Arezzo,2012-12-07,min,-2
Arezzo,2012-12-07,max,4
Arezzo,2012-12-08,min,1
Arezzo,2012-12-08,max,5
Arezzo,2012-12-09,min,0
Arezzo,2012-12-09,max,8
Arezzo,2012-12-10,min,-1
Arezzo,2012-12-10,max,6
Arezzo,2012-12-11,min,-2
Arezzo,2012-12-11,max,8
Arezzo,2012-12-12,min,-3
Arezzo,2012-12-12,max,7
Arezzo,2012-12-13,min,-3
Arezzo,2012-12-13,max,4
Arezzo,2012-12-14,min,3
Arezzo,2012-12-14,max,9
Arezzo,2012-12-15,min,9
Arezzo,2012-12-15,max,14
Arezzo,2012-12-16,min,9
Arezzo,2012-12-16,max,14
Arezzo,2012-12-17,min,6
Arezzo,2012-12-17,max,10
Arezzo,2012-12-18,min,3
Arezzo,2012-12-18,max,6
Arezzo,2012-12-19,min,0
Arezzo,2012-12-19,max,11
Arezzo,2012-12-20,min,-1
Arezzo,2012-12-20,max,6
Arezzo,2012-12-21,min,1
Arezzo,2012-12-21,max,6
Arezzo,2012-12-22,min,0
Arezzo,2012-12-22,max,9
Arezzo,2012-12-23,min,2
Arezzo,2012-12-23,max,7
Arezzo,2012-12-24,min,4
Arezzo,2012-12-24,max,13
Arezzo,2012-12-25,min,8
Arezzo,2012-12-25,max,13
Arezzo,2012-12-26,min,8
Arezzo,2012-12-26,max,14
Arezzo,2012-12-27,min,6
Arezzo,2012-12-27,max,10
Arezzo,2012-12-28,min,4
Arezzo,2012-12-28,max,16
Arezzo,2012-12-29,min,2
Arezzo,2012-12-29,max,11
Arezzo,2012-12-30,min,-1
Arezzo,2012-12-30,max,10
Arezzo,2012-12-31,min,-2
Arezzo,2012-12-31,max,12
Arezzo,2013-01-01,min,-1
Arezzo,2013-01-01,max,7
Arezzo,2013-01-02,min,5
Arezzo,2013-01-02,max,11
Arezzo,2013-01-03,min,3
Arezzo,2013-01-03,max,14
Arezzo,2013-01-04,min,0
Arezzo,2013-01-04,max,10
Arezzo,2013-01-05,min,3
Arezzo,2013-01-05,max,11
Arezzo,2013-01-06,min,3
Arezzo,2013-01-06,max,7
Arezzo,2013-01-07,min,3
Arezzo,2013-01-07,max,9
Arezzo,2013-01-08,min,0
Arezzo,2013-01-08,max,7
Arezzo,2013-01-09,min,2
Arezzo,2013-01-09,max,11
Arezzo,2013-01-10,min,4
Arezzo,2013-01-10,max,9
Arezzo,2013-01-11,min,3
Arezzo,2013-01-11,max,8
Arezzo,2013-01-12,min,0
Arezzo,2013-01-12,max,9
Arezzo,2013-01-13,min,3
Arezzo,2013-01-13,max,8
Arezzo,2013-01-14,min,5
Arezzo,2013-01-14,max,10
Arezzo,2013-01-15,min,4
Arezzo,2013-01-15,max,9
Arezzo,2013-01-16,min,2
Arezzo,2013-01-16,max,5
Arezzo,2013-01-17,min,1
Arezzo,2013-01-17,max,6
Arezzo,2013-01-18,min,0
Arezzo,2013-01-18,max,6
Arezzo,2013-01-19,min,-3
Arezzo,2013-01-19,max,5
Arezzo,2013-01-20,min,6
Arezzo,2013-01-20,max,13
Arezzo,2013-01-21,min,7
Arezzo,2013-01-21,max,11
Arezzo,2013-01-22,min,4
Arezzo,2013-01-22,max,8
Arezzo,2013-01-23,min,3
Arezzo,2013-01-23,max,8
Arezzo,2013-01-24,min,2
Arezzo,2013-01-24,max,8
Arezzo,2013-01-25,min,0
Arezzo,2013-01-25,max,6
Arezzo,2013-01-26,min,-1
Arezzo,2013-01-26,max,7
Arezzo,2013-01-27,min,-2
Arezzo,2013-01-27,max,8
Arezzo,2013-01-28,min,1
