localita,dt,type,value
Andria,2012-07-15,max,39
Andria,2012-07-16,min,23
Andria,2012-07-16,max,33
Andria,2012-07-17,min,23
Andria,2012-07-17,max,31
Andria,2012-07-18,min,22
Andria,2012-07-18,max,32
Andria,2012-07-19,min,21
Andria,2012-07-19,max,35
Andria,2012-07-20,min,22
Andria,2012-07-20,max,38
Andria,2012-07-21,min,22
Andria,2012-07-21,max,38
Andria,2012-07-22,min,21
Andria,2012-07-22,max,34
Andria,2012-07-23,min,20
Andria,2012-07-23,max,27
Andria,2012-07-24,min,20
Andria,2012-07-24,max,27
Andria,2012-07-25,min,17
Andria,2012-07-25,max,32
Andria,2012-07-26,min,20
Andria,2012-07-26,max,30
Andria,2012-07-27,min,21
Andria,2012-07-27,max,29
Andria,2012-07-28,min,22
Andria,2012-07-28,max,35
Andria,2012-07-29,min,22
Andria,2012-07-29,max,39
Andria,2012-07-30,min,25
Andria,2012-07-30,max,34
Andria,2012-07-31,min,24
Andria,2012-07-31,max,33
Andria,2012-08-01,min,22
Andria,2012-08-01,max,30
Andria,2012-08-02,min,22
Andria,2012-08-02,max,33
Andria,2012-08-03,min,20
Andria,2012-08-03,max,36
Andria,2012-08-04,min,22
Andria,2012-08-04,max,37
Andria,2012-08-05,min,23
Andria,2012-08-05,max,37
Andria,2012-08-06,min,23
Andria,2012-08-06,max,39
Andria,2012-08-07,min,24
Andria,2012-08-07,max,41
Andria,2012-08-08,min,25
Andria,2012-08-08,max,38
Andria,2012-08-09,min,24
Andria,2012-08-09,max,34
Andria,2012-08-10,min,22
Andria,2012-08-10,max,33
Andria,2012-08-11,min,23
Andria,2012-08-11,max,30
Andria,2012-08-12,min,21
Andria,2012-08-12,max,32
Andria,2012-08-13,min,20
Andria,2012-08-13,max,32
Andria,2012-08-14,min,22
Andria,2012-08-14,max,32
Andria,2012-08-15,min,22
Andria,2012-08-15,max,34
Andria,2012-08-16,min,22
Andria,2012-08-16,max,36
Andria,2012-08-17,min,22
Andria,2012-08-17,max,35
Andria,2012-08-18,min,22
Andria,2012-08-18,max,35
Andria,2012-08-19,min,23
Andria,2012-08-19,max,35
Andria,2012-08-20,min,22
Andria,2012-08-20,max,32
Andria,2012-08-21,min,21
Andria,2012-08-21,max,37
Andria,2012-08-22,min,23
Andria,2012-08-22,max,37
Andria,2012-08-23,min,22
Andria,2012-08-23,max,38
Andria,2012-08-24,min,23
Andria,2012-08-24,max,36
Andria,2012-08-25,min,23
Andria,2012-08-25,max,38
Andria,2012-08-26,min,22
Andria,2012-08-26,max,37
Andria,2012-08-27,min,24
Andria,2012-08-27,max,31
Andria,2012-08-28,min,21
Andria,2012-08-28,max,29
Andria,2012-08-29,min,19
Andria,2012-08-29,max,32
Andria,2012-08-30,min,19
Andria,2012-08-30,max,34
Andria,2012-08-31,min,22
Andria,2012-08-31,max,38
Andria,2012-09-01,min,21
Andria,2012-09-01,max,27
Andria,2012-09-02,min,20
Andria,2012-09-02,max,29
Andria,2012-09-03,min,19
Andria,2012-09-03,max,31
Andria,2012-09-04,min,18
Andria,2012-09-04,max,29
Andria,2012-09-05,min,17
Andria,2012-09-05,max,29
Andria,2012-09-06,min,19
Andria,2012-09-06,max,25
Andria,2012-09-07,min,19
Andria,2012-09-07,max,28
Andria,2012-09-08,min,19
Andria,2012-09-08,max,29
Andria,2012-09-09,min,16
Andria,2012-09-09,max,30
Andria,2012-09-10,min,17
Andria,2012-09-10,max,31
Andria,2012-09-11,min,18
Andria,2012-09-11,max,29
Andria,2012-09-12,min,16
Andria,2012-09-12,max,30
Andria,2012-09-13,min,17
Andria,2012-09-13,max,23
Andria,2012-09-14,min,16
Andria,2012-09-14,max,21
Andria,2012-09-15,min,15
Andria,2012-09-15,max,22
Andria,2012-09-16,min,17
Andria,2012-09-16,max,24
Andria,2012-09-17,min,15
Andria,2012-09-17,max,26
Andria,2012-09-18,min,14
Andria,2012-09-18,max,27
Andria,2012-09-19,min,15
Andria,2012-09-19,max,29
Andria,2012-09-20,min,17
Andria,2012-09-20,max,23
Andria,2012-09-21,min,14
Andria,2012-09-21,max,22
Andria,2012-09-22,min,11
Andria,2012-09-22,max,30
Andria,2012-09-23,min,15
Andria,2012-09-23,max,28
Andria,2012-09-24,min,19
Andria,2012-09-24,max,34
Andria,2012-09-25,min,23
Andria,2012-09-25,max,31
Andria,2012-09-26,min,19
Andria,2012-09-26,max,31
Andria,2012-09-27,min,21
Andria,2012-09-27,max,35
Andria,2012-09-28,min,21
Andria,2012-09-28,max,35
Andria,2012-09-29,min,20
Andria,2012-09-29,max,35
Andria,2012-09-30,min,21
Andria,2012-09-30,max,27
Andria,2012-10-01,min,19
Andria,2012-10-01,max,29
Andria,2012-10-02,min,19
Andria,2012-10-02,max,26
Andria,2012-10-03,min,16
Andria,2012-10-03,max,26
Andria,2012-10-04,min,16
Andria,2012-10-04,max,27
Andria,2012-10-05,min,16
Andria,2012-10-05,max,27
Andria,2012-10-06,min,16
Andria,2012-10-06,max,27
Andria,2012-10-07,min,15
Andria,2012-10-07,max,26
Andria,2012-10-08,min,18
Andria,2012-10-08,max,23
Andria,2012-10-09,min,13
Andria,2012-10-09,max,23
Andria,2012-10-10,min,15
Andria,2012-10-10,max,22
Andria,2012-10-11,min,15
Andria,2012-10-11,max,22
Andria,2012-10-12,min,16
Andria,2012-10-12,max,24
Andria,2012-10-13,min,16
Andria,2012-10-13,max,24
Andria,2012-10-14,min,16
Andria,2012-10-14,max,23
Andria,2012-10-15,min,16
Andria,2012-10-15,max,25
Andria,2012-10-16,min,17
Andria,2012-10-16,max,24
Andria,2012-10-17,min,12
Andria,2012-10-17,max,24
Andria,2012-10-18,min,12
Andria,2012-10-18,max,24
Andria,2012-10-19,min,14
Andria,2012-10-19,max,23
Andria,2012-10-20,min,14
Andria,2012-10-20,max,23
Andria,2012-10-21,min,11
Andria,2012-10-21,max,23
Andria,2012-10-22,min,13
Andria,2012-10-22,max,24
Andria,2012-10-23,min,12
Andria,2012-10-23,max,24
Andria,2012-10-24,min,14
Andria,2012-10-24,max,23
Andria,2012-10-25,min,14
Andria,2012-10-25,max,23
Andria,2012-10-26,min,14
Andria,2012-10-26,max,24
Andria,2012-10-27,min,16
Andria,2012-10-27,max,24
Andria,2012-10-28,min,16
Andria,2012-10-28,max,23
Andria,2012-10-29,min,10
Andria,2012-10-29,max,17
Andria,2012-10-30,min,9
Andria,2012-10-30,max,15
Andria,2012-10-31,min,11
Andria,2012-10-31,max,18
Andria,2012-11-01,min,16
Andria,2012-11-01,max,21
Andria,2012-11-02,min,13
Andria,2012-11-02,max,23
Andria,2012-11-03,min,12
